0       0.78255125       0.65862119       0.86540912 
1       0.17901810       0.21035425       0.84659809 
2       0.97989958       0.48769294       0.65652197 
3       0.45278816       0.49205876       0.02097209 
4       0.48614425       0.93038560       0.42616055 
5      -0.09872807       0.88391605       1.17449414 
6       0.96233484       0.08109071       0.58485925 
7       0.68117682       0.77389597       0.84520585 
8       0.08443833       0.45731397       0.64585838 
9       0.31537835       0.34455337       0.23204505 
10       0.65236320       0.21852768       0.51143903 
11       0.73281800       1.00648358       1.10934214 
12       0.92324880       0.31497490       0.12980351 
13       0.87728816      -0.15339313       0.06634098 
14       0.72358535       0.20798022       0.81827776 
15       0.49836252       0.65284131       0.29298628 
16       0.18073665       0.93070289       0.04957581 
17       0.37915681       0.56505099       0.25803730 
18       0.85623906       0.38467008       0.03610529 
19       0.04640435       0.52934951      -0.04521358 
20       0.82905817       0.97960095       0.83950174 
21       0.08696114       0.39720256      -0.15406958 
22      -0.13999008       0.71304350       0.56517478 
23       0.99420295       0.21446653       0.17908240 
24       1.22564399       0.68247306       0.42056319 
25       1.01490168       0.33873316       0.80276734 
26       0.41919170       0.35152638       0.69547653 
27       1.01836979       0.75535408       0.78447016 
28       0.42186752       0.81665941       0.53742328 
29       0.87185660       0.82834418       0.87715891 
30       0.17781822       0.60464025       0.16994732 
31       1.18482162       0.41446349       1.00270096 
32       1.06087631       0.48171648       0.11533195 
33       0.48228131       0.52066829       0.69548328 
34       0.48409955      -0.04868471      -0.05458635 
35       0.45149464       0.63618609       0.20307179 
36       0.31117110       0.71918601       0.91177176 
37       0.08958802       0.36172165       0.39121693 
38      -0.18730101       0.36294231       0.79403471 
39       0.44994658      -0.00139700      -0.10156954 
40       1.09591339       0.50094773       0.49950842 
41       0.57769879       0.04637387       0.45269081 
42       0.57753155       0.35140698       0.37559251 
43       0.36766653       1.04737556       0.60506777 
44       0.28119871       1.12137557       0.65948438 
45       1.01739026      -0.01208838       0.43754646 
46       0.76181333       0.86586050       0.83600745 
47       0.72318925      -0.07931564      -0.14125512 
48       0.97641294       0.26799810       0.44208327 
49       0.37966641       0.23367217       0.40371399 
50       0.22246027       0.78682956       0.71291315 
51       0.87088230       0.37690695       0.93216384 
52       0.20347783       0.11276930       0.80252948 
53       0.69159317       0.70581922       0.60486733 
54      -0.09350459       0.61429499       0.19601828 
55       0.25608571       0.59496736       1.23847904 
56       0.20393218       0.77145688       1.11691052 
57       0.15834866       0.10840607       0.23693694 
58       0.61044486      -0.20150417       0.69667344 
59       0.66718907       0.17269759      -0.05635829 
60       0.18213573       0.77324847       0.59691311 
61       0.21915785       0.67505621       0.85753750 
62       0.50029820       0.87215007       0.23886205 
63       0.13394913       0.53237215       0.52713996 
64       0.65210046       0.16355869       0.61048749 
65       0.71366793       0.61369631       0.28996771 
66       0.71697854       0.81508702       0.25103129 
67       0.68899229       0.87614819       0.47039116 
68       0.52746711       0.74021950       0.10823991 
69       0.83158915       0.17606871       0.40721293 
70       0.31177003       0.82652984       0.68158560 
71       1.03029574       0.78884080       0.91021878 
72       0.36749773       0.22183651       0.73324675 
73       0.63744129       0.18659860       0.16711192 
74       0.17047336       0.75518119       0.55589153 
75       0.43118710       1.02485660       0.66424861 
76       0.52699583       0.92661436       0.28347931 
77       0.75094296       0.13627931       0.39957967 
78       0.04349840       0.72900597       0.87355705 
79       0.85072999      -0.23399072       0.64161891 
80       0.71087231       0.60248576       0.56534109 
81       0.64229151       0.36680828       0.71158154 
82       0.62683735       0.81933286       0.06811588 
83       1.14004402       0.53611089       0.25552579 
84       0.21380602       0.20746927       0.50868505 
85       1.04247365       0.92778845       0.50163904 
86      -0.07162215       0.43332198       0.37707581 
87       0.53351989       0.91929026       0.19046054 
88       0.00848871       0.62582795       0.36735568 
89       0.21319536       1.09205873      -0.07475034 
90       0.72116503       0.48713181       1.06397581 
91       0.43166528       0.66746509       0.74817015 
92       0.37480737       0.94251130       0.26222965 
93       0.20706315       0.80690230       0.06999476 
94      -0.26229743       0.48759274       0.10946488 
95       0.46921315       0.30676569       0.80337993 
96       0.63923091       0.30146405      -0.05992203 
97       1.06439743       1.16516164       0.63704964 
98      -0.03541133       0.72250115       0.80963471 
99       0.88882937      -0.08842477       0.71468815 
100       0.45932344       0.53756515       0.08798738 
